1.0959,0.9868
1.1028,0.9827
1.0911,0.9886
1.0976,0.9897
1.0979,0.991
1.0982,0.9924
1.1048,0.9891
1.1055,0.9859
1.0999,0.9878
1.1003,0.9898
1.0942,0.9968
1.1001,0.9991
1.0999,1.0015
1.093,1.009
1.0982,1.0116
1.0907,1.0193
1.0953,1.0222
1.0872,1.03
1.0912,1.0331
1.0888,1.0363
1.0928,1.0347
1.0842,1.0381
1.088,1.0367
1.0794,1.0402
1.0831,1.039
1.0807,1.0377
1.0785,1.0366
1.0763,1.0355
1.0742,1.0344
1.0657,1.0383
1.0695,1.0374
1.0673,1.0364
1.0587,1.0404
1.0624,1.0395
1.0537,1.0435
1.0508,1.0475
1.0541,1.0466
1.0449,1.0506
1.0481,1.0497
1.0387,1.0536
1.0353,1.0575
1.0316,1.0614
1.0341,1.0604
1.0307,1.0593
1.0272,1.0582
1.0239,1.057
1.0142,1.0606
1.0169,1.0593
1.0135,1.0579
1.0102,1.0564
1.0006,1.0597
1.0034,1.058
1.0002,1.0562
0.997,1.0544
0.9876,1.0573
0.9906,1.0552
0.9811,1.0579
0.984,1.0556
0.9746,1.058
0.9776,1.0554
0.9746,1.0527
0.9653,1.0547
0.9686,1.0518
0.9658,1.0486
0.9569,1.0502
0.9604,1.0468
0.9516,1.0481
0.9553,1.0444
0.9531,1.0405
0.9511,1.0365
0.9494,1.0323
0.9415,1.0329
0.9462,1.0284
0.945,1.0237
0.9376,1.0238
0.9364,1.0237
0.9352,1.0234
0.9341,1.023
0.9329,1.0224
0.9318,1.0217
0.9372,1.0159
0.9304,1.0148
0.9298,1.0136
0.9293,1.0123
0.9288,1.0108
0.9349,1.0043
0.9289,1.0025
0.929,1.0005
0.9293,0.9985
0.9297,0.9963
0.9303,0.9939
0.931,0.9915
0.9318,0.9889
0.9328,0.9862
0.934,0.9833
0.9354,0.9804
0.9304,0.9822
0.938,0.9791
0.9396,0.9759
0.9414,0.9725
0.9369,0.974
0.9449,0.9705
0.9535,0.962
0.9371,0.9682
0.9516,0.9645
0.954,0.9607
0.9503,0.9618
0.9654,0.953
0.956,0.954
0.9652,0.9501
0.9621,0.951
0.9714,0.947
0.9684,0.9479
0.9715,0.9488
0.9681,0.9546
0.9833,0.9506
0.9865,0.9466
0.9771,0.9524
0.9924,0.9485
0.9893,0.9495
0.9922,0.9505
1.0015,0.9467
0.9984,0.9478
1.0078,0.944
1.0114,0.9404
1.0087,0.9417
1.012,0.943
1.0217,0.9396
1.0254,0.9362
1.0229,0.9379
1.0328,0.9347
1.024,0.9414
1.0333,0.9433
1.0364,0.9453
1.0459,0.9426
1.0429,0.9448
1.0459,0.9472
1.0487,0.9497
1.0579,0.9475
1.0545,0.9503
1.0571,0.9532
1.066,0.9513
1.056,0.9594
1.077,0.953
1.0672,0.9565
1.0758,0.9552
1.0719,0.959
1.0933,0.9483
1.0776,0.9524
1.0799,0.9567
1.0885,0.9562
1.0845,0.9608
1.0992,0.9557
1.0891,0.9606
1.0909,0.9657
1.0924,0.9709
1.0935,0.9763
1.0944,0.9818
1.1013,0.9826
1.0957,0.9885
1.0893,0.9994
1.1077,0.9958
1.0951,1.0021
1.0944,1.0085
1.1061,1.0053
1.0994,1.0072
1.1051,1.0043
1.0984,1.0064
1.0977,1.0087
1.1033,1.0062
1.0965,1.0087
1.102,1.0065
1.0952,1.0093
1.0943,1.0121
1.0997,1.0102
1.0862,1.0182
1.0973,1.0165
1.0898,1.0198
1.0883,1.0232
1.0866,1.0266
1.0846,1.0302
1.076,1.0387
1.0859,1.0374
1.0772,1.0412
1.0744,1.045
1.0778,1.0439
1.0688,1.0478
1.072,1.0468
1.0628,1.0508
1.0659,1.0498
1.063,1.0489
1.0601,1.048
1.0572,1.0472
1.048,1.0511
1.0511,1.0503
1.0482,1.0493
1.0389,1.0533
1.0419,1.0523
1.0324,1.0562
1.0288,1.0601
1.0315,1.059
1.0281,1.0579
1.0183,1.0616
1.0209,1.0603
1.011,1.0639
1.0135,1.0625
1.0099,1.061
1.0065,1.0594
1.0032,1.0578
0.9999,1.056
0.9968,1.0541
0.9874,1.0571
0.9904,1.055
0.9874,1.0528
0.9845,1.0505
0.9818,1.048
0.9664,1.0552
0.9821,1.0476
0.967,1.0497
0.9641,1.0516
0.9675,1.0485
0.9585,1.0501
0.9556,1.0516
0.9526,1.0529
0.9496,1.0541
0.9529,1.0502
0.9503,1.0462
0.9481,1.042
0.946,1.0377
0.9378,1.0381
